industrycategory_new,industrycategory_old
Agricultural & Extractive,"Agriculture, Forestry, Fishing, and Hunting, and Mining"
Construction,Construction
Manufacturing,Manufacturing
Wholesale Trade,Wholesale Trade
Retail Trade,Retail Trade
Transport & Utilities,"Transportation and Warehousing, and Utilities     "
Transport & Utilities,"Transportation and Warehousing, and Utilities     "
Information ,Information 
Finance & Real Estate,"Finance and Insurance, and Real Estate and Rental and Leasing"
Professional & Administrative,"Professional, Scientific, and Management, and Administrative and Waste Management Services"
Educational & Health Care,"Educational Services, and Health Care and Social Assistance"
"Arts, Entertainment, & Food","Arts, Entertainment, and Recreation, and Accommodation and Food Services"
Other Services,"Other Services, Except Public Administration"
Public Administration,Public Administration
