ddodyear,censuscode,deathcount
2013,0170,13
2013,0180,3
2013,0190,1
2013,0270,8
2013,0280,1
2013,0290,2
2013,0370,2
2013,0470,1
2013,0570,4
2013,0670,1
2013,0690,3
2013,0770,89
2013,1090,1
2013,1170,2
2013,1180,1
2013,1190,2
2013,1270,4
2013,1290,4
2013,1480,5
2013,1590,2
2013,1670,1
2013,1691,2
2013,1870,7
2013,1890,2
2013,1990,9
2013,2070,3
2013,2190,1
2013,2290,2
2013,2370,1
2013,2380,1
2013,2490,4
2013,2590,1
2013,2670,7
2013,2680,2
2013,2770,1
2013,2790,2
2013,2870,3
2013,2980,4
2013,2990,2
2013,3095,1
2013,3291,3
2013,3390,11
2013,3470,1
2013,3570,5
2013,3580,2
2013,3590,3
2013,3680,7
2013,3770,4
2013,3895,1
2013,3960,2
2013,3980,1
2013,3990,28
2013,4070,1
2013,4090,1
2013,4170,1
2013,4195,1
2013,4270,4
2013,4280,3
2013,4290,1
2013,4380,1
2013,4470,6
2013,4590,4
2013,4670,9
2013,4690,6
2013,4770,3
2013,4780,1
2013,4795,3
2013,4870,8
2013,4880,1
2013,4890,1
2013,4971,18
2013,4980,2
2013,4990,1
2013,5070,4
2013,5090,1
2013,5170,8
2013,5190,1
2013,5275,4
2013,5280,3
2013,5370,1
2013,5381,1
2013,5391,1
2013,5470,3
2013,5480,1
2013,5490,3
2013,5570,1
2013,5593,1
2013,5670,1
2013,5680,2
2013,5690,2
2013,5790,35
2013,6070,6
2013,6080,15
2013,6090,2
2013,6170,25
2013,6180,8
2013,6190,5
2013,6290,10
2013,6370,10
2013,6380,1
2013,6390,4
2013,6470,5
2013,6480,2
2013,6570,4
2013,6680,12
2013,6690,1
2013,6770,2
2013,6870,17
2013,6880,3
2013,6890,4
2013,6970,2
2013,6991,3
2013,6992,8
2013,7071,21
2013,7072,3
2013,7270,17
2013,7280,9
2013,7290,15
2013,7370,2
2013,7380,7
2013,7460,2
2013,7470,3
2013,7480,2
2013,7490,3
2013,7570,3
2013,7590,3
2013,7670,6
2013,7680,7
2013,7690,10
2013,7770,5
2013,7790,2
2013,7860,89
2013,7870,26
2013,7880,1
2013,7890,6
2013,7970,12
2013,7980,3
2013,8070,2
2013,8080,4
2013,8090,4
2013,8170,5
2013,8191,52
2013,8270,15
2013,8290,3
2013,8370,6
2013,8470,7
2013,8561,1
2013,8562,1
2013,8563,1
2013,8564,17
2013,8570,2
2013,8590,4
2013,8660,10
2013,8680,47
2013,8690,4
2013,8770,12
2013,8790,3
2013,8870,2
2013,8891,2
2013,8970,2
2013,8980,10
2013,9070,4
2013,9090,4
2013,9160,17
2013,9170,2
2013,9190,1
2013,9290,4
2013,9370,1
2013,9380,1
2013,9390,20
2013,9470,13
2013,9480,1
2013,9490,1
2013,9570,3
2013,9590,3
2014,0170,8
2014,0180,1
2014,0190,3
2014,0270,3
2014,0280,1
2014,0370,1
2014,0480,1
2014,0570,13
2014,0670,1
2014,0690,5
2014,0770,78
2014,1070,1
2014,1190,4
2014,1270,3
2014,1280,1
2014,1290,4
2014,1370,1
2014,1480,2
2014,1490,1
2014,1590,2
2014,1691,9
2014,1790,1
2014,1870,2
2014,1890,1
2014,1990,10
2014,2070,1
2014,2270,2
2014,2290,2
2014,2370,2
2014,2380,1
2014,2490,2
2014,2570,1
2014,2670,6
2014,2680,3
2014,2770,3
2014,2870,5
2014,2970,1
2014,2980,4
2014,2990,4
2014,3095,1
2014,3170,1
2014,3291,2
2014,3365,1
2014,3390,14
2014,3490,1
2014,3570,6
2014,3580,5
2014,3590,5
2014,3680,10
2014,3770,6
2014,3780,2
2014,3875,1
2014,3895,2
2014,3960,2
2014,3970,1
2014,3980,2
2014,3990,24
2014,4170,2
2014,4265,1
2014,4270,4
2014,4280,1
2014,4470,4
2014,4490,2
2014,4590,1
2014,4670,7
2014,4680,2
2014,4690,4
2014,4770,6
2014,4780,1
2014,4795,4
2014,4870,3
2014,4890,1
2014,4971,18
2014,4980,1
2014,5070,3
2014,5080,3
2014,5090,1
2014,5170,3
2014,5190,1
2014,5275,2
2014,5280,1
2014,5370,1
2014,5381,4
2014,5391,2
2014,5470,3
2014,5480,1
2014,5490,1
2014,5580,2
2014,5680,2
2014,5790,33
2014,6070,9
2014,6080,7
2014,6090,5
2014,6170,38
2014,6180,9
2014,6190,4
2014,6290,13
2014,6370,12
2014,6380,3
2014,6390,5
