ddodyear,naicscode,deathcount
2013,11,28
2013,21,3
2013,22,8
2013,23,89
2013,31,52
2013,32,35
2013,33,58
2013,42,23
2013,44,102
2013,45,24
2013,48,71
2013,49,15
2013,51,26
2013,52,37
2013,53,24
2013,54,60
2013,55,3
2013,56,33
2013,61,122
2013,62,113
2013,71,26
2013,72,61
2013,81,63
2013,92,43
2014,11,16
2014,21,2
2014,22,19
2014,23,78
2014,31,53
2014,32,33
2014,33,79
2014,42,15
2014,44,91
2014,45,19
2014,48,85
2014,49,20
2014,51,25
2014,52,51
2014,53,15
2014,54,53
2014,55,1
2014,56,32
2014,61,91
2014,62,105
2014,71,27
2014,72,63
2014,81,63
2014,92,78
2015,11,22
2015,21,1
2015,22,15
2015,23,100
2015,31,58
2015,32,31
2015,33,71
2015,42,18
2015,44,95
2015,45,23
2015,48,74
2015,49,22
2015,51,38
2015,52,62
2015,53,20
2015,54,59
2015,55,2
2015,56,46
2015,61,116
2015,62,152
2015,71,29
2015,72,63
2015,81,65
2015,92,70
2016,11,26
2016,21,3
2016,22,12
2016,23,90
2016,31,59
2016,32,37
2016,33,86
2016,42,27
2016,44,114
2016,45,17
2016,48,78
2016,49,20
2016,51,35
2016,52,45
2016,53,20
2016,54,70
2016,55,1
2016,56,34
2016,61,116
2016,62,136
2016,71,28
2016,72,78
2016,81,71
2016,92,68
2017,11,26
2017,21,2
2017,22,23
2017,23,74
2017,31,48
2017,32,29
2017,33,76
2017,42,27
2017,44,101
2017,45,18
2017,48,64
2017,49,21
2017,51,41
2017,52,57
2017,53,12
2017,54,64
2017,55,1
2017,56,34
2017,61,111
2017,62,172
2017,71,20
2017,72,53
2017,81,78
2017,92,62
2018,11,28
2018,21,6
2018,22,16
2018,23,86
2018,31,63
2018,32,37
2018,33,59
2018,42,21
2018,44,106
2018,45,20
2018,48,79
2018,49,17
2018,51,33
2018,52,46
2018,53,22
2018,54,68
2018,55,3
2018,56,43
2018,61,122
2018,62,144
2018,71,28
2018,72,66
2018,81,69
2018,92,66
2019,11,20
2019,21,4
2019,22,13
2019,23,64
2019,31,57
2019,32,36
2019,33,74
2019,42,19
2019,44,112
2019,45,21
2019,48,62
2019,49,24
2019,51,39
2019,52,57
2019,53,27
2019,54,77
2019,55,3
2019,56,31
2019,61,110
2019,62,178
2019,71,29
2019,72,69
2019,81,78
2019,92,56
2020,11,24
2020,21,1
2020,22,16
2020,23,99
2020,31,60
2020,32,33
2020,33,79
2020,42,15
2020,44,91
2020,45,20
2020,48,85
2020,49,20
2020,51,38
2020,52,44
2020,53,25
2020,54,78
2020,56,42
2020,61,126
2020,62,171
2020,71,28
2020,72,64
2020,81,72
2020,92,77
2021,11,27
2021,21,3
2021,22,12
2021,23,105
2021,31,57
2021,32,43
2021,33,67
2021,42,30
2021,44,114
2021,45,14
2021,48,96
2021,49,23
2021,51,35
2021,52,58
2021,53,34
2021,54,82
2021,55,2
2021,56,50
2021,61,121
2021,62,168
2021,71,40
2021,72,69
2021,81,77
2021,92,67
2022,11,25
2022,21,3
2022,22,16
2022,23,99
2022,31,55
2022,32,22
2022,33,84
2022,42,21
2022,44,125
2022,45,20
2022,48,89
2022,49,32
2022,51,43
2022,52,48
2022,53,27
2022,54,99
2022,55,2
2022,56,48
2022,61,142
2022,62,198
2022,71,38
2022,72,80
2022,81,67
2022,92,65
2023,11,27
2023,21,2
2023,22,15
2023,23,84
2023,31,64
2023,32,24
2023,33,61
2023,42,20
2023,44,95
2023,45,17
2023,48,66
2023,49,25
2023,51,42
2023,52,53
2023,53,28
2023,54,67
2023,56,44
2023,61,134
2023,62,164
2023,71,32
2023,72,69
2023,81,89
2023,92,63
